Census Tract,FIPS Code,Formatted FIPS,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.,Estimated typical (median) age of all people between 2010-2014.
"36081990100, NY",36081990100,36081990100,N/A,,
"36085990100, NY",36085990100,36085990100,N/A,,
"36081107202, NY",36081107202,36081107202,N/A,,
"36047070203, NY",36047070203,36047070203,N/A,,
"36081071600, NY",36081071600,36081071600,N/A,,
"36047990100, NY",36047990100,36047990100,N/A,,
"36005050400, NY",36005050400,36005050400,27,,
"36085022800, NY",36085022800,36085022800,27,,
"36085029102, NY",36085029102,36085029102,36,,
"36085019800, NY",36085019800,36085019800,38,,
"36085022600, NY",36085022600,36085022600,39,,
"36047066600, NY",36047066600,36047066600,N/A,,
"36005051600, NY",36005051600,36005051600,49,,
"36081091601, NY",36081091601,36081091601,49,,
"36047005300, NY",36047005300,36047005300,34,,
"36047070202, NY",36047070202,36047070202,55,,
"36005043500, NY",36005043500,36005043500,24,,
"36047001800, NY",36047001800,36047001800,36,,
"36081038302, NY",36081038302,36081038302,87,,
"36085027900, NY",36085027900,36085027900,51,,
"36085017600, NY",36085017600,36085017600,43,,
"36085018100, NY",36085018100,36085018100,46,,
"36081033100, NY",36081033100,36081033100,N/A,,
"36081099705, NY",36081099705,36081099705,44,,
"36085015400, NY",36085015400,36085015400,N/A,,
"36085032300, NY",36085032300,36085032300,42,,
"36005013800, NY",36005013800,36005013800,37,,
"36061000500, NY",36061000500,36061000500,N/A,,
"36005011800, NY",36005011800,36005011800,32,,
"36047107000, NY",36047107000,36047107000,35,,
"36005009300, NY",36005009300,36005009300,31,,
"36085024402, NY",36085024402,36085024402,38,,
"36085015603, NY",36085015603,36085015603,41,,
"36061014300, NY",36061014300,36061014300,N/A,,
"36005030900, NY",36005030900,36005030900,56,,
"36085017700, NY",36085017700,36085017700,47,,
"36085007000, NY",36085007000,36085007000,39,,
"36081092900, NY",36081092900,36081092900,34,,
"36081091800, NY",36081091800,36081091800,N/A,,
"36081089200, NY",36081089200,36081089200,50,,
"36005016000, NY",36005016000,36005016000,42,,
"36005033400, NY",36005033400,36005033400,37,,
"36081010701, NY",36081010701,36081010701,N/A,,
"36085027301, NY",36085027301,36085027301,42,,
"36047003400, NY",36047003400,36047003400,38,,
"36081066400, NY",36081066400,36081066400,34,,
"36081056100, NY",36081056100,36081056100,34,,
"36061024000, NY",36061024000,36061024000,47,,
"36085000600, NY",36085000600,36085000600,50,,
"36005001900, NY",36005001900,36005001900,31,,
"36085002100, NY",36085002100,36085002100,32,,
"36005000100, NY",36005000100,36005000100,29,,
"36085011202, NY",36085011202,36085011202,40,,
"36085020801, NY",36085020801,36085020801,37,,
"36005011000, NY",36005011000,36005011000,49,,
"36047070600, NY",36047070600,36047070600,47,,
"36047017700, NY",36047017700,36047017700,N/A,,
"36085000300, NY",36085000300,36085000300,43,,
"36081138502, NY",36081138502,36081138502,66,,
