Census Tract,FIPS Code,Formatted FIPS,Estimated per capita income between 2010-2014.
"36081990100, NY",36081990100,36081990100,N/A
"36085990100, NY",36085990100,36085990100,N/A
"36081107202, NY",36081107202,36081107202,N/A
"36047070203, NY",36047070203,36047070203,N/A
"36081071600, NY",36081071600,36081071600,N/A
"36047990100, NY",36047990100,36047990100,N/A
"36005050400, NY",36005050400,36005050400,83146
"36085022800, NY",36085022800,36085022800,69008
"36085029102, NY",36085029102,36085029102,33233
"36085019800, NY",36085019800,36085019800,42397
"36085022600, NY",36085022600,36085022600,35721
"36047066600, NY",36047066600,36047066600,N/A
"36005051600, NY",36005051600,36005051600,42790
"36081091601, NY",36081091601,36081091601,39540
"36047005300, NY",36047005300,36047005300,39125
"36047070202, NY",36047070202,36047070202,32331
"36005043500, NY",36005043500,36005043500,14927
"36047001800, NY",36047001800,36047001800,16422
"36081038302, NY",36081038302,36081038302,15484
"36085027900, NY",36085027900,36085027900,41766
"36085017600, NY",36085017600,36085017600,44457
"36085018100, NY",36085018100,36085018100,45637
"36081033100, NY",36081033100,36081033100,N/A
"36081099705, NY",36081099705,36081099705,43221
"36085015400, NY",36085015400,36085015400,N/A
"36085032300, NY",36085032300,36085032300,32282
"36005013800, NY",36005013800,36005013800,36098
"36061000500, NY",36061000500,36061000500,N/A
"36005011800, NY",36005011800,36005011800,29573
"36047107000, NY",36047107000,36047107000,28545
"36005009300, NY",36005009300,36005009300,11698
"36085024402, NY",36085024402,36085024402,33478
"36085015603, NY",36085015603,36085015603,37219
"36061014300, NY",36061014300,36061014300,N/A
"36005030900, NY",36005030900,36005030900,47732
"36085017700, NY",36085017700,36085017700,53314
"36085007000, NY",36085007000,36085007000,25238
"36081092900, NY",36081092900,36081092900,23841
"36081091800, NY",36081091800,36081091800,N/A
"36081089200, NY",36081089200,36081089200,41107
"36005016000, NY",36005016000,36005016000,36695
"36005033400, NY",36005033400,36005033400,23721
"36081010701, NY",36081010701,36081010701,N/A
"36085027301, NY",36085027301,36085027301,33698
"36047003400, NY",36047003400,36047003400,44360
"36081066400, NY",36081066400,36081066400,29920
"36081056100, NY",36081056100,36081056100,39079
"36061024000, NY",36061024000,36061024000,5171
"36085000600, NY",36085000600,36085000600,39805
"36005001900, NY",36005001900,36005001900,16168
"36085002100, NY",36085002100,36085002100,21735
"36005000100, NY",36005000100,36005000100,3327
"36085011202, NY",36085011202,36085011202,31138
"36085020801, NY",36085020801,36085020801,34458
"36005011000, NY",36005011000,36005011000,19153
"36047070600, NY",36047070600,36047070600,37311
"36047017700, NY",36047017700,36047017700,N/A
"36085000300, NY",36085000300,36085000300,36213
"36081138502, NY",36081138502,36081138502,7538
"36081090700, NY",36081090700,36081090700,21750
"36081091602, NY",36081091602,36081091602,N/A
"36081094500, NY",36081094500,36081094500,35055
"36047035200, NY",36047035200,36047035200,13771
"36085024800, NY",36085024800,36085024800,31662
